userId,itemList
AGSQ45M3B7IHBTBUROMCEFWV3BXA,['B00NH13K8S']
AEDBF73WRJXL3PBLDM3XDE7NGCYA,"['B00UVN2C8O', 'B00OTJZTZE', 'B00S51XM5Q', 'B0123ZAUAO', 'B0123ZAQJE', 'B0134EU9YA', 'B00S51XHUQ', 'B00OTJZNI2']"
AEGRYA2ELTJWRHRSO3AJNWY6FJCQ,"['B001GI5CSA', 'B015KT1NG0', 'B00ZE0636G']"
AHRR7O3L54YZ2PL6XQGQXNSBXNOA,['B00BP8UHF4']
AGXNJWIAYKHIQ3GTXNV4KLCGSGBQ,['B00NAMU8NO']
AF3QNPMCP2F3C4JSTFPTVVF64CPA,"['B0076W9Q5A', 'B0076W9Q4Q']"
AEFZXNSOTKUNXPHHUJZOLH2ASDKQ,['B00LL3O236']
AFHZ7OQLZIG7P3UFWAT353UJRFIA,"['B006U3O566', 'B007QUYQSY', 'B01AH0TRTW']"
AGKMMJVGTIAH2TSG72TUFPFEKMTA,['B001H1VB18']
AEKJENLK2DOHA5WMPAVOY6UBO2AA,['B004SP0WAQ']
AHGHZ257QONNBNNTKLOLQ7UPVEKQ,['B018YKTD1Y']
AEXVS54OZKGOCUJQEUYUTKC5QV4A,"['B007K3TK4W', 'B00F19Q2R0', 'B00NIYNU8E', 'B00CTGGARU', 'B0025UEQQW', 'B00F19PYR4', 'B00F19Q7YI', 'B00J9RO2LS', 'B00O12F210']"
AEJYFCOU2KJQM5SHU7OW26MV5ZVQ,"['B01BUSN07K', 'B018Y0RU00', 'B00LGN8OW6', 'B00MUTWLW4']"
AE3S3WQSPQ45KQSJ4LDJ75T7TCQQ,['B00006HOKW']
AFQO2KKMU3ZCK7BJPQMT67FB2OPQ,"['B01GGKYXVE', 'B00NH12O5I']"
AEAQXI6NF2BSAUJNLEC4Q6KHREOQ,"['B00OVVTA28', 'B01BYKF38S', 'B00RUZ059O', 'B0076POASA', 'B00F5OG0LY']"
AGY37WJKDMZO2GETVPLOB4ULBBUQ,['B0076SFE9Q']
AEINYTIMOQUE7MT3BEJ5Y24UXFAQ,"['B000CSIUWA', 'B00B2HOKKQ', 'B00DI89IQS', 'B00EVVNPZQ', 'B01FMHXAOI']"
AFMSZW6OPMLTLKHC6G6VPKJCLGDQ,"['B01CZ8BC4M', 'B0000BZL0U', 'B0000BZL8G', 'B004861K1A', 'B00NR2Y2UC']"
AGNTWK27NQIJLRTRT7ZSI2XPJLLQ,['B01GCGKBWC']
AGEBWSVPTOOKPYQIP6SCRW2GJMGA,['B00KF7MVI2']
AFZNISMI72WTRHRUNGZAHA247STA,"['B00UFBZOKK', 'B00OTJZNI2', 'B00UVN2C8O', 'B00S51XHUQ', 'B0123ZAQJE', 'B00OTJZTZE', 'B0134EU9YA', 'B00S51XM5Q', 'B0123ZAUAO']"
AERH2FUU7DYNFSNQSRNLML3MIG2A,['B01D5H8JW0']
AETCMYOTYH2VR6HOQ6ECN76VVDZQ,['B001FWYGJS']
AEF7WWRD3K6WULAYJS62RDMQFTCA,['B00009KH63']
AHELRWCL7DEGDHBV2GEQ72JEYMTA,['B00NH13K8S']
AEDL6RJ5H3ETJ4KT2BQA5WDM5BSQ,"['B00I0QZMPE', 'B00005141S']"
AG4RNFD4G4XSD3VYGOA6A3LILMXQ,['B001Q21Y0G']
AEGFDVPDNHORI7WBILGWDRAOYREA,"['B001CCGYU0', 'B008YH1AV4']"
AE5RW4OY6NFYZHJTFGI6KUHOJIQQ,['B000BTL0OA']
AHZEDYA24L5RWYY6AUOORTWYXU3A,['B007JNWCDE']
AEVRA5VMA5HSEGWNCW5JPTXURU2A,"['B00KL7C10O', 'B00ENMK1DW', 'B00WTQDV5E']"
AGV4TIE72NESJCUDHOTUIDAZBJ4A,['B01FW5DP0E']
AEKNSJTV4LQP5G55A57DLRORZFAA,['B000UXZQ42']
AEDFGSSEN3C6AJMJOVJ5NF6YSLIQ,['B01GGKYXVE']
AFK7H7FSXC53JBSPMU5NJLOE36BQ,['B00OHVZTTK']
AHEKD5Q25H57GAMB5HQTRBJBLVXA,"['B00S51XM5Q', 'B00UVN2C8O', 'B0123ZAQJE', 'B00OTJZTZE', 'B00OTJZNI2', 'B0134EU9YA', 'B0123ZAUAO', 'B00S51XHUQ']"
AHWR6BIAF2BLBUJVR5LJYSXJ76YQ,['B01GGKYXVE']
AHUONRQ7OO35NSW5RGZVEXIRDZ5A,"['B00PIMKN1Q', 'B00WRDRRWW']"
AECIXA63QV47XSXVBQJO2XQZAUKA,['B004FHO5Y6']
AG6YMSC2VVM2WGVKK4F5IH3H2BTQ,"['B00WTQDV5E', 'B00ENMK1DW']"
AEAWVPV67ODN2AOOQJOGVMO3XG3A,"['B00K8942SO', 'B00009R6WO', 'B014EOML6S']"
AH7DVCC5IQWKIEVYELZ7C7RVBRKQ,"['B00WTQDV5E', 'B00ENMK1DW', 'B00WHUTQZ6']"
AHHAWJDHJWTNLQB6NMZX3K57IDPA,['B0009PTBZ6']
AGCJ2NTZQ32HYIGTA537G6AZIFYQ,['B009ZIILLI']
AHN4L3OO55A3GUAFTRWYCCXNM7QQ,['B00P0ES0YE']
AEI6G2P7UEMTJYHQUFPKPG7GDTNA,['B00BD8I3EI']
AGYFDJ3GHBFD53IZ5RDDNHGJDV5A,['B00NH13K8S']
AHL7IBYPYKNTRMNCQP2G24ZOVQXA,['B007OXMHDE']
AEPTVI45H7GUY2RHG32YXXU4WLXQ,"['B0123ZAQJE', 'B00OTJZTZE', 'B0123ZAUAO', 'B00UVN2C8O', 'B00S51XHUQ', 'B00S51XM5Q', 'B00OTJZNI2', 'B0134EU9YA']"
AELAE6XOECFWXYIUI3WOX5OIY77Q,['B019FRCQAK']
AE3JW6R2VOF2KSIEAHLYPCTX7QRQ,['B00FPAVUHC']
AGHDFOJQHV7WCUIBOUB7IC3DZPZA,['B0169AKOSW']
AEX5JABWFEVECV2BMUMS7CBVNTEQ,['B00BCWALHM']
AHY25D7XZXKQUJLEXLI23ZGEYRMQ,['B019FRDAY6']
AGEQBGHPALUXWYM467IKEAFA2H3Q,"['B007K3TK4W', 'B00F19Q7YI', 'B0025UEQQW', 'B00J9RO2LS', 'B00O12F210', 'B00F19PYR4', 'B00CTGGARU', 'B00F19Q2R0']"
AGQNPLHNO6RDUVHOSX43AOVUMQTA,['B008F4USMS']
AH6CYWDANNMLVD2GT2PD4XHBEFXQ,['B01DBV1OKY']
AGC5X3ES5N5YUPGELCNNPDPM3J6A,['B00009R86L']
AHGIRW5YY5FT6B4CUGMVPQKOXHIA,['B008F4USMS']
AGRYBQGCGY4WSE53ZRZLIP76UGHA,['B01GCGKBWC']
AFWJ27NJ5NTFAUVSQR3K3RV2X46Q,['B00HL862QK']
AHKGEW6OF334SFZJYPKKPSDVGFKQ,['B00OZHGVSY']
AGYOQMW6B3572DVYI57BLOFMX44A,['B005WXOV82']
AHZ3VVDPMKT3SVS3QL3UDQYRDYRQ,['B00MPIDYTO']
AEUJMV7MPMURORVUAAYK2RW7Q2MQ,['B0076W9Q5A']
AHEXVIKWVGVCBMHHZFEVKSVRKYXQ,['B006JRIDHK']
AFBM674JY2B2T576PIJAHX6DS4VA,['B00KQCOV5C']
AGFLVH4URPWOUGDNCB5YXHYBLYTA,['B00EB6O4N8']
AEMISHDLFLPDLXLXYKMNNIOK6JHA,['B00C9FLSLY']
AETTESS77AMGXFO3BTAORDXXBBXQ,['B00NH12O5I']
AHL3QWDYSLV3QJCWNJH4ZHFEBVGA,['B00LN3LQKQ']
AGH4275B2V6QKX4GOBGCDDK6J3OQ,['B00FE690DI']
AGK4UNVICA35ZFHUQPJ7RKA2XU6Q,['B005QXX0MG']
AG3SWFDRJ3AVS65GJ4RUEE3ESN3A,['B001CCGYU0']
AFKUZMYUOLGQ2TY3IHSRGGL26RXQ,['B004FHO5Y6']
AF4ATTYOSOBM2JA5SZ3ZWH3CFKBA,['B00T9N2SOA']
AFPIS74WN6UTKWSREQIENYF67JAQ,"['B001MSS6CS', 'B00WTQDV5E', 'B00ENMK1DW']"
AGSNDU4VDHDOFGIAWPSFH76UMBLA,['B00VWEK4IG']
AEPOUXHT22AWZTCWW3MHZTWSEXHA,['B00FE690DI']
AEED2EW7XZOQM3O3AVLBWOX6BUHA,['B004JZI78O']
AFR3SEK6XUHN2E75JYU327RXBQKQ,"['B004861K1A', 'B0000BZL0U', 'B0000BZL8G']"
AG2O2UGR5ZWYZEL2O2ZZJ4B45KMQ,['B00B2HOKKQ']
AGSMB3BF2QC55UI336V6656GZ7XA,['B00LL3O236']
AE2RGTOVTDF2Q2W4FRCWIWDYO7BA,['B016XXY0YE']
AF2YV6NIOEIOZ3WS2PWKP374ZOFA,"['B0000BZL0U', 'B0096W1ONK', 'B004861K1A', 'B0000BZL8G']"
AGPCXTIOOGR2J5C3JV2NCOU273OA,['B00NNMB3KS']
AGM5GSJ4XSYDDTR4QDDQHQSQT3GA,['B004WO8HQ4']
AHJJ3GCKR42ZYPUYA6WGS3C2MT3A,['B005LDLP8W']
AGUHZ6V6IGA66NN7ILL6XXWFBJ7Q,['B00CMVE2AO']
AGPXWCK5F67RW7VHAVW7DOYOJULQ,['B00EB6O4N8']
AG644F2D2CY4NEHW6ANIA6HMH5HA,"['B000BTYEHA', 'B00004ZC9V']"
AELC5AH4VNE6KOROQTD2HEMH3QLQ,['B00KQCOV5C']
AEB2TDEJM7PWJXH5K6K3J7D2AU7A,['B006QKXURS']
AH4ODX4TBSCH46SP73NOKTKBMESQ,['B000OPWSYM']
AHBWWG4APZMAVQSREETXHJJCR4FA,['B00UFBZOKK']
AEKMN33G44DRZ32Y36JZXDOY2FFA,['B017GTNN3S']
AGCQGF2FDSMOYD6DDHBZ225TCYAQ,['B00LM0U8I6']
AGFRYGDTKWESZ2GPMUDG5VIRMI4Q,['B00I8OH1VQ']
AFCUHRX3JWQQL5OA47WXQHWLZXAA,['B00VMH7PQM']
AEIGYLJL3RXY4OZRZX3RIRSG6WOQ,['B00BP8UHF4']
AFCDIUXWBG55MMTYESBWYDXNUEWA,['B00W4ZLZP8']
AEQDNOSZPM3WZNN4Y7676ICY5GGQ,"['B00KYK2AKO', 'B00DQGBYDC']"
AFQ4PLLOQTOKM3JIDGH4DUK2GW3Q,['B00B2HOPZ6']
AFQT3ZPJC7ZWJOD66YRX7ICCY6NQ,['B00NMTXYN6']
AH4RAUQT2IMYPTLECBPMFCGNIPNA,['B0043M6668']
AHQ5N2VNS3A2RPHC55RCCIENFMHA,['B00CSW4BGW']
AGIXAPWY3ENYRVAAE4LWNKIVZZJA,['B002NU5O9C']
AF67BBPCULXQ267LFSFFVXBFYMFA,['B00NNMB3KS']
AFTW73BGUK5IYAL7VP3GVUJOFEUQ,['B019FPK7LM']
AHAO34KL5YRJE7JJEEWY3K25422A,['B01FJSJ2QK']
AEAOPXLXMOUTJGIECX34VCS26XCQ,['B01DBV1OKY']
AGSQ6DOONSDEQJRQYU3NCSSBEYJQ,['B000UXZQ42']
AHNT6QQC35U6G5IU6R4G65KVGFNQ,"['B00D2LGRPG', 'B0054KPK9C']"
AG4U54ZOPPVFWW37FN553XUGTPUA,['B00UAILN4E']
AE26KC7B54ERIRZFHGV7347SZVPA,['B00008Y0SI']
AFB3AIYOXI2EETNV7KPFPDNE3LOQ,"['B00LM4ON2E', 'B00LM4ON3I', 'B00LM4OMW0', 'B00LM4OMUW']"
AEX3DJVRQRQFZO2NTDEQ73JO572A,['B0032HM6JG']
AE2LIP4ABCAGSRGG7OE444ULFEVQ,['B00WGQNJK4']
AFCASWOFSYA27A4NQQKISXABZGOA,['B003LSTD38']
AELWR2DRYWKGENVTFJ4BYHF5SFHQ,['B019D0LS4E']
AHRPVAQSFVZ6VZGZAOFSOZTJGBPA,['B00UFBZOKK']
AEBIMAYOOHGJ4J5ODQQHR7ZT75QA,"['B00O12F210', 'B00CTGGARU', 'B00J9RO2LS', 'B00F19PYR4', 'B007K3TK4W', 'B00F19Q7YI', 'B0025UEQQW', 'B00F19Q2R0']"
AEUKGPWVOPMDN2DAJERVBAC355EA,['B00UFBZOKK']
AGWHLHC6DDF5OC5URZ6UUIJUT5FQ,['B00ONSBF4K']
AFLTGY4BOJYBVU5HBWT2K6KFP43A,"['B00S51XHUQ', 'B0123ZAUAO', 'B0123ZAQJE', 'B00UVN2C8O', 'B00S51XM5Q', 'B00OTJZNI2', 'B0134EU9YA', 'B00OTJZTZE']"
AHMQHFEDWULWQOG4USNIGRWOD2KA,['B01GGKYXVE']
AF73EHXHWNPJQ7B4G5BE25SUIB2Q,['B002CLKFTQ']
AGICEODPOOK42ZTJ6JYEZNQOSL6Q,['B00JD4TAWI']
AG3XSZLN7CD6ZJOWJDUUO2FNFGSA,['B01AZC4IKK']
AHYUAE4L3IOZM336X5KMPZGPDTWA,"['B006THNH7Q', 'B00KFCRATC', 'B00I604J3U']"
AHTJNBRHNJ2SN2OQ54KKYJX6A4XA,['B006JH8T3S']
AGSZWRCOTRRQ4Q3YEF7PS6JADEWQ,['B00B2HOS08']
AGBOJTNJCSFV2GRJKIKFNEUSUL5A,['B00NEMG62M']
AEIITWWR23HFRBI4ML4EFWXAGXCA,['B00KQCOV5C']
AFN3WT2B2R76H4G75XZJ7JMLGZ2A,['B00006JILE']
AGFTZSK36BLIBU3C724VLJFILEDQ,['B00EXV66TQ']
AH3JLMPVCGGCOJSREXYKVIUVMFVA,"['B0076W9Q4Q', 'B0076W9Q5A']"
AGMWTGCJUNOZFK53RYNATSYDFSVA,['B00C3XW5L4']
AEAQPDTMN3FULGM4WWANA4PRP6MA,['B00OJ5Z2NM']
AETEK6HRKZ7PGG7UPTM6RGOWAM4A,"['B00004ZC9V', 'B000BTYEHA']"
AEWAZ33BQDEQVKIKWMJUK3T7OZTA,['B00JLV4BWC']
AGPYXGQUY6UWZBF7HXEU3W5SHW6A,['B014RONV5K']
AHWO6LUJVA74RJJQ4YWLVHKB5ZGA,['B00MFDX4YO']
AFPYAHSTYO4KGPIJ75DUW3NZVS7Q,['B00D84GA40']
AGNYQZV5GO2LGPE363UTUHTYHRVA,"['B00009XVL0', 'B0000BZIE0', 'B00009XVKY']"
AH5KVE242PFPEZBVRHHYOCSV7UWA,['B00ECDM78E']
AGXJLXJNPBANCD564ESIDER36YWA,['B00008Y0SI']
AH42MVHIMHTC7EOWKWHNCIWEIP3A,"['B0076W9Q4Q', 'B0076W9Q5A']"
AGD3C5E6UZIERQYCDVHIHFF6LGQA,['B00MUTWLW4']
AGKVTGKRGOE4HDBRYJTUXQLPHCNQ,['B00J8SN3D6']
AHMV2JX7D3AE6FGYJMX6ZEMTHMAQ,"['B0000BZL0U', 'B004861K1A', 'B0000BZL8G']"
AFK3NSLQT7373Z37RNZEU2DZVP5A,"['B006EWUO22', 'B004CRSM4S']"
AH77TPHDOT2VPXLBPCFRHMKDX7EQ,['B00TE8XKIS']
AE6WMPBBQZ4MZ2XERQ5SE7PG6HXA,['B00AWRUICG']
AG3WY7NUGDCNP44DVEBCQS53QOWQ,"['B00S51XHUQ', 'B0123ZAUAO', 'B0134EU9YA', 'B00OTJZTZE', 'B00UVN2C8O', 'B00OTJZNI2', 'B0123ZAQJE', 'B00S51XM5Q']"
AGKTWVGC7ZMDLI5MDLAO3P7JI7AQ,['B00CBD65WG']
AFDQEZP6PJN6DGZ5STFLEGZTMCYA,"['B00LM4ON3I', 'B00LM4OMUW', 'B00LM4ON2E', 'B00LM4OMW0']"
AFTUOIVU2N5QIKK3WDTVLIWXSPYQ,['B00HL862QK']
AECJRLPY75AIM5U2UUJOGPQAXEWA,['B019FRDAY6']
AF2PPD6XSBPOWBZTYIS5USULW6PQ,['B00QCEWTAW']
AEA4W7EJS6DS2IWYEA4P6G4W5DXA,['B00JHKSKZQ']
AFNQFKPQFMVHZUMVIZYFYIKY56EA,['B00KV9TQXM']
AENX2NJENTEVA4CA2AHF7MS7IKPA,['B00UFBZOKK']
AG6HYPCY7ZATQOISZOWJ6GPZYESA,['B001QUA6R0']
AEPLWKQGHNVFIMAJHHK436YGEFUA,['B00B2HOKCY']
AEKL76CIUAOION4XXXV2S4TMXOJQ,['B00T0DW3F8']
AHNPXZTN2BDA3ZJRVLUGHPO2Y6BQ,"['B00J8E8XT4', 'B0090UG55A']"
AGRCEWJLZ6VRC2IJ7UD5N6KP4QWA,['B0013HFYKK']
AF2USVT46HCSL2GXHJMYS4R2A47Q,['B004FHO5Y6']
AHVTZ2XEWMWSJPLV5DY7EQVGX2VA,['B00WGQNJK4']
AFDM7MC7SKASURU6UDQERM2SDSVA,['B019FRDAY6']
AFDEPVBRDLNEBJZE5RFIO4EONMTA,['B00WHUTQZ6']
AEY4DZCMZTO53IJCGRFL56LIKNNA,"['B00LGN8OW6', 'B019FRDAY6']"
AHW4LIRATDMYDK3W3SU2WX2TM3BA,"['B0076W9Q5A', 'B0076W9Q4Q']"
AE2CMEB4HAG7LABPTX2EBHSFEZZQ,"['B001G4NBSC', 'B003Y5T464']"
AGNZSCOLUFIFGRJP6JXVHCGI4ODA,['B00001P4ZH']
AEUMJVB5I62K4FSCGBCVJZ44KCVQ,['B00ECWKD6I']
AED2SFIQLH4EFPRPCYEXJUVC7GYA,['B01EN4PMZG']
AFGHLHHCE3AOB7UAHAELUC3IY74A,['B00LLUEJFU']
AHS3LK4BKIICHRL35Z6H5PONA4KA,['B00FPAVUHC']
AEFDMZ4XSR5B4JUUY7HIHB2BV7HQ,['B00IV19IJ4']
AG6ITVZTK6KYOF7HYSBMQZDUUH4A,['B00FPAVUHC']
AG3TVE7ELF3UIFOAV2UMTSOH6UDQ,['B004AZ38Z0']
AHRRBITKTW2BRKDEFUEGF5ZVWWHQ,['B0032HM6JG']
AHTV6GU77QTUMBB6OS6JPBKAAY3A,['B00A8LN70Q']
AFUOGTITYGPMMXYQUNT3P6MQ35IQ,['B00LLUEJFU']
AF46WDVVCVIATK27WJIWIOA33KWQ,['B00O79IC5A']
AGS6DHMBA5YWH667XCOHH56KAECQ,['B00Q59EQ3C']
AF4SYBBWJMDPBM5U6U2W5MIU7TTA,['B00AFSN9QE']
AHZRAN3Z3MT4GPB47QUG75WMBUVA,['B0043T7FXE']
AGIUGA5VNRV3QYSG2A7PZERK67QA,['B000UXZQ42']
AFBPDN65AZUBATMK54SSIUJMBLCQ,['B000068O5G']
AFUBH3EA7EM7G5RGXJ6TQBVLJYLA,"['B005FNI9OQ', 'B003ZSHKJ8']"
AEWVPBDL6ID7Z4ANDOJPVQWCAM2Q,['B00W4ZLZP8']
AH4TOUOKFJTCBUYF7FUGRXDYQ6XQ,['B00WJOYG6Y']
AESED4P36KWPBGECVBJ4OEKMELUQ,['B0197UUN1Y']
AEBDZ4Y54REKWSJQYH3CLHEE4A6A,['B00NH13K8S']
AEJNRVZTPQTPR3OFANWT7UVDSCLQ,['B0000C73CQ']
AEYDX22FF7W2KHFSZL3ZXGMSTABQ,['B004FHO5Y6']
AGEYVQGKTPRRWLAXLHQKSVSNT2CQ,['B001CX85I8']
AHTHFB2GREUE4Y6W7JXMH4D4FV5A,"['B00WTQDV5E', 'B00ENMK1DW']"
AFAM2JIMK7PJETGKRJLCR2ZTZJ7Q,['B004I5BUSO']
AFPK5K4GIRKJLMS2AHI223IWLEHA,['B00UFCVK8O']
AGMMS3C7DEOG4EV2GFTIBIUGO2GA,['B00L3QENSA']
AGW5265BUUOJQC3SUSCMIHGM74OQ,['B005EJH6RW']
AHC2YRMWRQN2NCAS3JGZKSR2BDJA,['B00KF7P34G']
AHUMIJKSE5O46RAXEGCCSM4OATUQ,['B00QXT5T3U']
AGDZIAXGGPLOSIAVSTNBEG7W4ALA,['B000JLK5PU']
AGLXFXEZSYYQLAVNRE36TWJRMFQA,['B01GGKZ1VA']
AGA2DHE754TIUBINDM36ASDOTMFQ,['B00IAELTAI']
AHVIL2PMLNQXH7XVH3KPNI452LTA,['B00NH13K8S']
AFI57VDKGPNGJ4TPRDSPHMNRRTEQ,"['B00Y44AAQW', 'B00DQGBYDC']"
AGKHYV3EQ6ZUN6GDBNY7FHZ6NHEA,['B00LAX52IQ']
AGFIRKU4TS3IJQSNBVKFA5BFN4UQ,['B00AQUO5RI']
AESBBVGTCWAKRZAOJASJ5V457AAQ,['B00P0GI68M']
AEKFHJAKUTUZ5WGOAUGKFPLI4K2Q,['B018UB3HU0']
AHVD4AH4A4ZFHG3VDZGTU44NGITQ,['B00JD4TAWI']
AHLWHPWNHYJJJCQCWMPVNBAQCMFQ,['B00CZ5GB24']
AFFFD35TFGSBLR4QMPZXUPCJQM4Q,['B00007IFED']
AFBOM2XKGWT6SW6YPBXV37VMKC3A,['B00L3QENSA']
AH4M4I5LM6XSSOHSIQJCWWV24G7Q,['B00BIFNTMC']
AHCFX2VIW2NZSNVPWHNLSTA7EE6Q,['B00FB45SI4']
AFFTEFRPKJKOQLEXKABNIPPHZ5HQ,['B00OJ3UJ2S']
AFPKCEP43OY4INMSJ72PCFBES5NQ,['B00UFBZOKK']
AFM3PGVOZ3ZNW3C2IYWRUFXUEIUA,['B00IJ2J2K0']
AFQD3KS74NQAUQJMQJ4CLSUXETUQ,['B006QKXURS']
AFMOLYFNYP5GIBNLQVRPTYOCCU7Q,['B00MUTWLW4']
AFFECWOZNOQNOYW3AJPHGPSR3OEQ,['B00MUTWLW4']
AHZ3YPW5VVWILUO2L6DBC5LBGPDQ,['B00NH11KIK']
AFUFYJAOI6ZPS5MMBXFKULCICH3A,['B01EFPX9XA']
AECQR73N57UL5VIRXI7I4QXR454A,['B00K3K8TKA']
AFOZBOD4KVJS2KKL24JD2MHC2Z3A,"['B00I0QZMPE', 'B00005141S']"
AFHOX447CCJFWGIC7XJ5PXROKZRQ,['B00KQCOV5C']
AH6H2MREOGXWGK2EGZHONT4BPN3Q,['B00OHVZTTK']
AGG7YFNX7V3JV4OEMP4LJMH3TFXA,['B00GBO3YK2']
AGJBL2OD7KORI7GWGABJ342IEDFQ,['B00Q59EQ3C']
AEFLDHHCAGQJQZ7WJDWXPNLCTE6Q,['B00B2HORKE']
AFDH7ANCXLEZRZ42VUALKSLUG2XA,['B00D2LGRPG']
AFT4K4HH7CE222N2EHSVNGH4YQAA,['B00008Y0VN']
AHBT5MK7EMX4QSNK67KED7DBRJIA,['B008LTBM6S']
AE47PW2ZCUC7MLE6XHXFZ4I57BXA,['B006QKXURS']
AFZBMMMJU5PPHDQSWGISSXQ3Y7SQ,"['B00ENMK1DW', 'B00WTQDV5E']"
AHAHULSECSXGFCOWSIHCBGCJW7UA,['B00MYTSN18']
AF2UJDYVVOEQQ5JWB6HIXHM7DP6Q,"['B0076W9Q5A', 'B0076W9Q4Q']"
AHZBNFKAIUAETMDXC23U5ODLLC7A,['B00HYSG0CS']
AGXAKHIUXE4ZUVDANLULZMBK6XYA,['B001TAAVP4']
AEOYBBLFI232RCMBAYJS4M5TMTUA,['B001FWYGJS']
AEN2J4ZCIS3MHITIZVF43R5LTV3A,['B00B2HORKE']
AEOTATC24BYYZBNMGU4E24NI6ADQ,['B0091F8F7A']
AEDYKZVQ3VEGDV335IQ3MLHHXUQQ,['B00CPKB9MQ']
AHY2CCUAQM4KRCCIDKXZRHMWIKTQ,"['B0026ZPFCK', 'B00TPQPURI', 'B0026ZPFDE']"
AGAVYZOT7JMBYCEZ7SPIXZ73MQXA,['B00HL862QK']
AFNYQHUJ55JVHASVQU6JZGIINLLQ,['B019FRDAY6']
AF7THICNFYJSZBMH6F3PJETAA72Q,['B00EB4ADQW']
AH4UCJH54U4AHAZA6AIAPRUBNXCQ,['B00WGQNJK4']
AF2VF5X27HUGWHW3TILNRBTSEPOA,['B008LTBM6S']
AHQ2CMJEU7X6LODNZL2CTIM2BUTA,['B00G3PAPWO']
AFXHT32ORPDTFPGRV62CE7QKGCGQ,['B01D82XXGO']
AGRHMMINDNEGYYDMY4TXFTEIAQ2Q,['B019FRCQAK']
AGTUQTI4D6OACTXVJNXBOOKNGRWQ,['B00CDS9EKE']
AGJ7LQCEQU4HCGTIEXDYQGNXODQA,['B00K4DKDUK']
AG562UEV543UWKBI5BM5CNCRDEWA,['B00B2HOKCY']
AHFFJY6B57G35NSV34JOXMSPTQNA,['B00L3QENSA']
AHWBFJ2CEC4SDDVSJAE5NQKIK6TA,['B01D82XXGO']
AHJKEFJWAKVOJEUJZUD6TPXQYXTA,['B00L7UZMAK']
AGQ4SKM6EZOUGNMJC3JA35JMLDWQ,['B01GGKYXVE']
AG735G3KE2E7PVHB2LNOZNKTNHFQ,['B003WM2N94']
AEOWSUD43EBQYZNIJFAPSNF7NQ5A,['B00R4O9LXM']
